simulated_event_id,scenario_id,scenario_type,scenario_phase,is_representative,sequence_number,scheduled_at,production_date,shift_id,station_id,lot_id,sequence_in_lot,piece_serial,source_event_id,source_event_key,source_class,source_group_key,source_timestamp,label,is_defective,expected_review_required,n_images,source_classes,view_pairs,image_ids,relative_paths,event_time,recorded_at,is_simulated,roi_model_version,feature_ae_version,raw_dataset_id,manifest_id,piece_event_id,dataset_version,replay_id,validation_id,scenario_version
sim_event_dbdaf2e7650c,production_replay_natural,production,natural_replay_v002,True,11,2026-06-15T10:25:00,2026-06-15,day_shift,QC-CASTING-01,IQA-20260615-L001,18,IQA-20260615-L001-P018,piece_event_5c8d278a2959,Casting_class1:2022-02-18_11_39_06_599,Casting_class1,2022-02-18_11_39_06_599,2022-02-18T11:39:06.599,good,False,False,3,Casting_class1,Casting_class1:1_2|Casting_class1:1_3|Casting_class1:2_3,iqa_casting_4eeae8a10c486c50|iqa_casting_231a859071b84640|iqa_casting_3bfc4f52f7e3a40e,Casting_class1/train/good/2022-02-18_11_39_06_599_1_2.jpg|Casting_class1/train/good/2022-02-18_11_39_06_599_1_3.jpg|Casting_class1/train/good/2022-02-18_11_39_06_599_2_3.jpg,2026-06-15T10:25:00,2026-06-12T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_natural_v002,sim_event_dbdaf2e7650c,production_replay_natural_v002,production_replay_natural_v002,,casting_flux_replay_plan_natural_v003
sim_event_ceb1e3be104b,production_replay_natural,production,natural_replay_v002,True,12,2026-06-15T10:40:00,2026-06-15,day_shift,QC-CASTING-01,IQA-20260615-L001,21,IQA-20260615-L001-P021,piece_event_f08e55a6eb6b,Casting_class1:2022-02-18_11_47_43_699,Casting_class1,2022-02-18_11_47_43_699,2022-02-18T11:47:43.699,good,False,False,3,Casting_class1,Casting_class1:1_2|Casting_class1:1_3|Casting_class1:2_3,iqa_casting_4b4cc85ab7126c80|iqa_casting_86e041654d0943ba|iqa_casting_d02ec0c1fa56bb78,Casting_class1/train/good/2022-02-18_11_47_43_699_1_2.jpg|Casting_class1/train/good/2022-02-18_11_47_43_699_1_3.jpg|Casting_class1/train/good/2022-02-18_11_47_43_699_2_3.jpg,2026-06-15T10:40:00,2026-06-12T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_natural_v002,sim_event_ceb1e3be104b,production_replay_natural_v002,production_replay_natural_v002,,casting_flux_replay_plan_natural_v003
sim_event_8855fe10ee8a,production_replay_natural,production,natural_replay_v002,True,13,2026-06-15T11:00:00,2026-06-15,day_shift,QC-CASTING-01,IQA-20260615-L001,25,IQA-20260615-L001-P025,piece_event_289ecd7597ea,Casting_class1:2022-02-18_12_05_20_086,Casting_class1,2022-02-18_12_05_20_086,2022-02-18T12:05:20.086,good,False,False,3,Casting_class1,Casting_class1:1_2|Casting_class1:1_3|Casting_class1:2_3,iqa_casting_8b1892d27a85bac1|iqa_casting_9e4c1202601ea0d0|iqa_casting_4f4ed3e05bcb6ca0,Casting_class1/train/good/2022-02-18_12_05_20_086_1_2.jpg|Casting_class1/train/good/2022-02-18_12_05_20_086_1_3.jpg|Casting_class1/train/good/2022-02-18_12_05_20_086_2_3.jpg,2026-06-15T11:00:00,2026-06-12T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_natural_v002,sim_event_8855fe10ee8a,production_replay_natural_v002,production_replay_natural_v002,,casting_flux_replay_plan_natural_v003
sim_event_e734320d1360,production_replay_natural,production,natural_replay_v002,True,14,2026-06-15T11:05:00,2026-06-15,day_shift,QC-CASTING-01,IQA-20260615-L001,26,IQA-20260615-L001-P026,piece_event_ef49f6d310d1,Casting_class1:2022-02-18_12_07_34_912,Casting_class1,2022-02-18_12_07_34_912,2022-02-18T12:07:34.912,good,False,False,3,Casting_class1,Casting_class1:1_2|Casting_class1:1_3|Casting_class1:2_3,iqa_casting_dfd11cb29e7ed618|iqa_casting_65232db014df3425|iqa_casting_672bb09069d1514c,Casting_class1/train/good/2022-02-18_12_07_34_912_1_2.jpg|Casting_class1/train/good/2022-02-18_12_07_34_912_1_3.jpg|Casting_class1/train/good/2022-02-18_12_07_34_912_2_3.jpg,2026-06-15T11:05:00,2026-06-12T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_natural_v002,sim_event_e734320d1360,production_replay_natural_v002,production_replay_natural_v002,,casting_flux_replay_plan_natural_v003
sim_event_ba8a74836a48,production_replay_natural,production,natural_replay_v002,True,15,2026-06-15T11:10:00,2026-06-15,day_shift,QC-CASTING-01,IQA-20260615-L001,27,IQA-20260615-L001-P027,piece_event_9d2744b126b1,Casting_class1:2022-02-18_12_20_29_924,Casting_class1,2022-02-18_12_20_29_924,2022-02-18T12:20:29.924,good,False,False,3,Casting_class1,Casting_class1:1_2|Casting_class1:1_3|Casting_class1:2_3,iqa_casting_8ecfcf89fb245cfc|iqa_casting_c8b40379a887bb45|iqa_casting_d7abecc8c29935b2,Casting_class1/train/good/2022-02-18_12_20_29_924_1_2.jpg|Casting_class1/train/good/2022-02-18_12_20_29_924_1_3.jpg|Casting_class1/train/good/2022-02-18_12_20_29_924_2_3.jpg,2026-06-15T11:10:00,2026-06-12T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_natural_v002,sim_event_ba8a74836a48,production_replay_natural_v002,production_replay_natural_v002,,casting_flux_replay_plan_natural_v003
sim_event_ed61553eb00f,production_replay_natural,production,natural_replay_v002,True,16,2026-06-15T11:20:00,2026-06-15,day_shift,QC-CASTING-01,IQA-20260615-L001,29,IQA-20260615-L001-P029,piece_event_15bbd6396b26,Casting_class1:2022-02-18_12_29_03_690,Casting_class1,2022-02-18_12_29_03_690,2022-02-18T12:29:03.690,good,False,False,3,Casting_class1,Casting_class1:1_2|Casting_class1:1_3|Casting_class1:2_3,iqa_casting_dd417ab6047893b8|iqa_casting_40c48f440203e6cf|iqa_casting_50d9d44a16504ba7,Casting_class1/train/good/2022-02-18_12_29_03_690_1_2.jpg|Casting_class1/train/good/2022-02-18_12_29_03_690_1_3.jpg|Casting_class1/train/good/2022-02-18_12_29_03_690_2_3.jpg,2026-06-15T11:20:00,2026-06-12T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_natural_v002,sim_event_ed61553eb00f,production_replay_natural_v002,production_replay_natural_v002,,casting_flux_replay_plan_natural_v003
sim_event_3b7d33d65fef,production_replay_natural,production,natural_replay_v002,True,17,2026-06-15T11:30:00,2026-06-15,day_shift,QC-CASTING-01,IQA-20260615-L002,1,IQA-20260615-L002-P001,piece_event_ddfc3c06443e,Casting_class2:2022-02-15_15_11_04_771,Casting_class2,2022-02-15_15_11_04_771,2022-02-15T15:11:04.771,good,False,False,4,Casting_class2,Casting_class2:1_1|Casting_class2:1_2|Casting_class2:2_1|Casting_class2:2_2,iqa_casting_098a3b7fe513bbd0|iqa_casting_67b5d34c80a851ae|iqa_casting_106cf1be2a1b3fe7|iqa_casting_a18194daba6e98ba,Casting_class2/train/good/2022-02-15_15_11_04_771_1_1.jpg|Casting_class2/train/good/2022-02-15_15_11_04_771_1_2.jpg|Casting_class2/train/good/2022-02-15_15_11_04_771_2_1.jpg|Casting_class2/train/good/2022-02-15_15_11_04_771_2_2.jpg,2026-06-15T11:30:00,2026-06-12T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_natural_v002,sim_event_3b7d33d65fef,production_replay_natural_v002,production_replay_natural_v002,,casting_flux_replay_plan_natural_v003
sim_event_e499a2dd4e07,production_replay_natural,production,natural_replay_v002,True,18,2026-06-15T11:35:00,2026-06-16,day_shift,QC-CASTING-01,IQA-20260615-L002,2,IQA-20260615-L002-P002,piece_event_e49326fe890d,Casting_class2:2022-02-15_15_13_44_612,Casting_class2,2022-02-15_15_13_44_612,2022-02-15T15:13:44.612,good,False,False,1,Casting_class2,Casting_class2:1_3,iqa_casting_d853a29baf34dd85,Casting_class2/train/good/2022-02-15_15_13_44_612_1_3.jpg,2026-06-15T11:35:00,2026-06-12T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_natural_v002,sim_event_e499a2dd4e07,production_replay_natural_v002,production_replay_natural_v002,,casting_flux_replay_plan_natural_v003
sim_event_4046dd93e048,production_replay_natural,production,natural_replay_v002,True,19,2026-06-15T11:40:00,2026-06-16,day_shift,QC-CASTING-01,IQA-20260615-L002,3,IQA-20260615-L002-P003,piece_event_e11972edbfe4,Casting_class2:2022-02-15_15_15_23_434,Casting_class2,2022-02-15_15_15_23_434,2022-02-15T15:15:23.434,good,False,False,3,Casting_class2,Casting_class2:1_1|Casting_class2:1_2|Casting_class2:1_3,iqa_casting_9198a9fdb9adf72f|iqa_casting_7c5c2dd42b4ca416|iqa_casting_9f257119dd6043c9,Casting_class2/train/good/2022-02-15_15_15_23_434_1_1.jpg|Casting_class2/train/good/2022-02-15_15_15_23_434_1_2.jpg|Casting_class2/train/good/2022-02-15_15_15_23_434_1_3.jpg,2026-06-15T11:40:00,2026-06-12T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_natural_v002,sim_event_4046dd93e048,production_replay_natural_v002,production_replay_natural_v002,,casting_flux_replay_plan_natural_v003
sim_event_5e7a1fcd7e07,production_replay_natural,production,natural_replay_v002,True,20,2026-06-15T11:50:00,2026-06-16,day_shift,QC-CASTING-01,IQA-20260615-L002,5,IQA-20260615-L002-P005,piece_event_54785cb8f8f1,Casting_class3:2022-02-15_15_15_58_656,Casting_class3,2022-02-15_15_15_58_656,2022-02-15T15:15:58.656,good,False,False,3,Casting_class3,Casting_class3:2_1|Casting_class3:3_2|Casting_class3:3_3,iqa_casting_d4c890f3cbe514d8|iqa_casting_33eaaaccb1c9ff3a|iqa_casting_ed9680ac159206ad,Casting_class3/train/good/2022-02-15_15_15_58_656_2_1.jpg|Casting_class3/train/good/2022-02-15_15_15_58_656_3_2.jpg|Casting_class3/train/good/2022-02-15_15_15_58_656_3_3.jpg,2026-06-15T11:50:00,2026-06-12T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_natural_v002,sim_event_5e7a1fcd7e07,production_replay_natural_v002,production_replay_natural_v002,,casting_flux_replay_plan_natural_v003
sim_event_262d30a6804f,production_replay_natural,production,natural_replay_v002,True,21,2026-06-15T11:55:00,2026-06-17,day_shift,QC-CASTING-01,IQA-20260615-L002,6,IQA-20260615-L002-P006,piece_event_d85bc6f944a7,Casting_class1:2022-02-23_14_22_04_577-1,Casting_class1,2022-02-23_14_22_04_577-1,2022-02-23T14:22:04.577,defective,True,True,3,Casting_class1,Casting_class1:1_2|Casting_class1:1_3|Casting_class1:2_3,iqa_casting_d3e85d2039af3d2f|iqa_casting_999ef16dbf65eda7|iqa_casting_c877fdf034da3c9b,Casting_class1/test/defective/2022-02-23_14_22_04_577-1_1_2.jpg|Casting_class1/test/defective/2022-02-23_14_22_04_577-1_1_3.jpg|Casting_class1/test/defective/2022-02-23_14_22_04_577-1_2_3.jpg,2026-06-15T11:55:00,2026-06-12T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_natural_v002,sim_event_262d30a6804f,production_replay_natural_v002,production_replay_natural_v002,,casting_flux_replay_plan_natural_v003
sim_event_d53cc7844f37,production_replay_natural,production,natural_replay_v002,True,22,2026-06-15T12:00:00,2026-06-16,day_shift,QC-CASTING-01,IQA-20260615-L002,7,IQA-20260615-L002-P007,piece_event_aef8ef6be8db,Casting_class2:2022-02-15_15_17_21_614,Casting_class2,2022-02-15_15_17_21_614,2022-02-15T15:17:21.614,good,False,False,3,Casting_class2,Casting_class2:1_1|Casting_class2:1_2|Casting_class2:1_3,iqa_casting_8849187e9c1c47b3|iqa_casting_3359a73ca36c8525|iqa_casting_d119e00fcde51c7c,Casting_class2/train/good/2022-02-15_15_17_21_614_1_1.jpg|Casting_class2/train/good/2022-02-15_15_17_21_614_1_2.jpg|Casting_class2/train/good/2022-02-15_15_17_21_614_1_3.jpg,2026-06-15T12:00:00,2026-06-12T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_natural_v002,sim_event_d53cc7844f37,production_replay_natural_v002,production_replay_natural_v002,,casting_flux_replay_plan_natural_v003
sim_event_ecefb4ea44c4,production_replay_natural,production,natural_replay_v002,True,23,2026-06-15T12:10:00,2026-06-16,day_shift,QC-CASTING-01,IQA-20260615-L002,9,IQA-20260615-L002-P009,piece_event_4c8a6fe5aeb4,Casting_class2:2022-02-15_15_18_54_790,Casting_class2,2022-02-15_15_18_54_790,2022-02-15T15:18:54.790,good,False,True,1,Casting_class2,Casting_class2:1_3,iqa_casting_48bcfe8fcfc603fc,Casting_class2/train/good/2022-02-15_15_18_54_790_1_3.jpg,2026-06-15T12:10:00,2026-06-12T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_natural_v002,sim_event_ecefb4ea44c4,production_replay_natural_v002,production_replay_natural_v002,,casting_flux_replay_plan_natural_v003
sim_event_b54d747eed84,production_replay_natural,production,natural_replay_v002,True,24,2026-06-15T12:15:00,2026-06-16,day_shift,QC-CASTING-01,IQA-20260615-L002,10,IQA-20260615-L002-P010,piece_event_19d068d12297,Casting_class3:2022-02-15_15_18_54_790,Casting_class3,2022-02-15_15_18_54_790,2022-02-15T15:18:54.790,good,False,False,3,Casting_class3,Casting_class3:2_1|Casting_class3:3_2|Casting_class3:3_3,iqa_casting_152016d3bbcd4c29|iqa_casting_0a73bb728ddc2b80|iqa_casting_9cd8359b12f7a32d,Casting_class3/train/good/2022-02-15_15_18_54_790_2_1.jpg|Casting_class3/train/good/2022-02-15_15_18_54_790_3_2.jpg|Casting_class3/train/good/2022-02-15_15_18_54_790_3_3.jpg,2026-06-15T12:15:00,2026-06-12T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_natural_v002,sim_event_b54d747eed84,production_replay_natural_v002,production_replay_natural_v002,,casting_flux_replay_plan_natural_v003
sim_event_7783b73ad92a,production_replay_natural,production,natural_replay_v002,True,25,2026-06-15T12:25:00,2026-06-16,day_shift,QC-CASTING-01,IQA-20260615-L002,12,IQA-20260615-L002-P012,piece_event_74f1821ac4b3,Casting_class2:2022-02-15_15_20_28_376,Casting_class2,2022-02-15_15_20_28_376,2022-02-15T15:20:28.376,good,False,False,3,Casting_class2,Casting_class2:1_1|Casting_class2:1_2|Casting_class2:1_3,iqa_casting_e2e1c940f964bedb|iqa_casting_970d44cf3eed2797|iqa_casting_88932ed77c1c0594,Casting_class2/train/good/2022-02-15_15_20_28_376_1_1.jpg|Casting_class2/train/good/2022-02-15_15_20_28_376_1_2.jpg|Casting_class2/train/good/2022-02-15_15_20_28_376_1_3.jpg,2026-06-15T12:25:00,2026-06-12T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_natural_v002,sim_event_7783b73ad92a,production_replay_natural_v002,production_replay_natural_v002,,casting_flux_replay_plan_natural_v003
sim_event_d16d3448f126,production_replay_natural,production,natural_replay_v002,True,26,2026-06-15T12:30:00,2026-06-16,day_shift,QC-CASTING-01,IQA-20260615-L002,13,IQA-20260615-L002-P013,piece_event_547d3e14fe92,Casting_class2:2022-02-15_15_21_27_644,Casting_class2,2022-02-15_15_21_27_644,2022-02-15T15:21:27.644,good,False,False,1,Casting_class2,Casting_class2:1_3,iqa_casting_fb1063d9423d1db4,Casting_class2/train/good/2022-02-15_15_21_27_644_1_3.jpg,2026-06-15T12:30:00,2026-06-12T00:00:00,True,roi_segmenter_v001_fixed,rd_feature_ae_gated_v001_bootstrap,hss_iad_casting_raw_v1,casting_flux_replay_plan_natural_v002,sim_event_d16d3448f126,production_replay_natural_v002,production_replay_natural_v002,,casting_flux_replay_plan_natural_v003
